"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Harrisburg Elementary","Cabarrus County Schools","B - 78","B","78","Met","79.3","12","35.31885500","-80.64067000"
"Concord Middle","Cabarrus County Schools","F - 38","F","38","NotMet","33.4","72","35.41973877","-80.55341339"
"Concord High","Cabarrus County Schools","C - 59","C","59","NotMet","46.4","52","35.43238449","-80.58258820"
"J N Fries Magnet School","Cabarrus County Schools","A+ - 91","A","91","Exceeded","92.6","21","35.43238449","-80.58258820"
"Jay M Robinson High","Cabarrus County Schools","C - 69","C","69","Met","53.1","42","35.36156464","-80.66169739"
"Cabarrus Co Opportunity School","Cabarrus County Schools","NA - NA","N","","NA","NA","73","35.41202164","-80.59011841"
"C C Griffin Middle","Cabarrus County Schools","C - 55","C","55","Exceeded","45.8","61","35.30799866","-80.58809662"
"Cox Mill Elementary","Cabarrus County Schools","B - 84","B","84","Exceeded","82.7","8","35.39157093","-80.73032655"
"Harris Road Middle","Cabarrus County Schools","B - 81","B","81","Exceeded","76.5","18","35.43692017","-80.58078003"
"Carl A Furr Elementary","Cabarrus County Schools","C - 60","C","60","NotMet","58.0","50","35.37716675","-80.68569946"
"Mount Pleasant Elementary","Cabarrus County Schools","C - 69","C","69","Exceeded","63.6","40","35.91701126","-79.07080841"
"Mount Pleasant Elementary","Wilkes County Schools","C - 60","C","60","NotMet","58.2","45","35.91701126","-79.07080841"
"Mount Pleasant Middle","Cabarrus County Schools","C - 68","C","68","Exceeded","62.1","43","35.41198300","-80.43737700"
"Mount Pleasant High","Cabarrus County Schools","C - 68","C","68","Met","56.8","38","35.40673065","-80.48416901"
"Charles E Boger Elementary","Cabarrus County Schools","B - 71","B","71","Met","68.6","36","35.45442900","-80.66389400"
"Northwest Cabarrus High","Cabarrus County Schools","B - 72","B","72","Met","56.6","46","35.45211792","-80.66253662"
"Northwest Cabarrus Middle","Cabarrus County Schools","C - 61","C","61","Exceeded","54.0","52","35.45318797","-80.66420875"
"Royal Oaks Elementary","Cabarrus County Schools","D - 40","D","40","NotMet","33.1","98","35.46520615","-80.61323547"
"Rocky River Elementary","Cabarrus County Schools","D - 50","D","50","NotMet","46.3","65","35.34181500","-80.59854800"
"Rocky River Elementary","Mooresville City Schools","B - 82","B","82","NotMet","84.8","29","35.34181500","-80.59854800"
"Rocky River Elementary","Union County Public Schools","B - 76","B","76","Exceeded","73.0","61","35.34181500","-80.59854800"
"Pitts School Road Elementary","Cabarrus County Schools","B - 72","B","72","Met","69.2","32","35.34291400","-80.64672000"
"Hickory Ridge High","Cabarrus County Schools","B - 83","B","83","Exceeded","74.8","19","35.30670047","-80.63806258"
"Performance Learning Center","Cabarrus County Schools","C - 67","C","67","Met","40.2","49","35.36494000","-80.59401700"
"Performance Learning Center","Charlotte-Mecklenburg Schools","B - 71","B","71","Met","47.1","41","35.36494000","-80.59401700"
"W R Odell Elementary","Cabarrus County Schools","B - 78","B","78","Met","76.4","21","35.42873092","-80.73769055"
"Weddington Hills Elementary","Cabarrus County Schools","C - 66","C","66","Exceeded","61.0","66","35.39517975","-80.64841461"
"Winecoff Elementary","Cabarrus County Schools","D - 48","D","48","NotMet","45.2","72","35.40908432","-80.67467499"
"W M Irvin Elementary","Cabarrus County Schools","D - 50","D","50","NotMet","45.9","70","35.41809931","-80.55164449"
"Wolf Meadow Elementary","Cabarrus County Schools","C - 59","C","59","Exceeded","52.8","100","35.37625122","-80.62644958"
"Patriots Elementary","Cabarrus County Schools","B - 79","B","79","Exceeded","74.5","33","35.31179810","-80.59297943"
"Hickory Ridge Middle","Cabarrus County Schools","B - 72","B","72","Exceeded","67.6","21","35.30780420","-80.63731827"
"Cabarrus-Kannapolis Early Coll","Cabarrus County Schools","A - 89","A","89","Met","84.4","45","35.43801880","-80.65984344"
"Harold E. Winkler Middle","Cabarrus County Schools","C - 59","C","59","Exceeded","51.9","51","35.40908432","-80.67467499"
"A L Brown High","Kannapolis City Schools","C - 58","C","58","NotMet","40.5","61","35.49768448","-80.61750793"
"Forest Park Elementary","Forsyth County Schools","D - 40","D","40","NotMet","34.0","98","35.47896266","-80.60326964"
"Forest Park Elementary","Kannapolis City Schools","C - 63","C","63","Exceeded","55.4","68","35.47896266","-80.60326964"
"Fred L Wilson Elementary","Kannapolis City Schools","D - 45","D","45","Met","37.7","85","35.49689400","-80.64667500"
"Jackson Park Elementary","Kannapolis City Schools","D - 52","D","52","Met","45.2","78","35.50407400","-80.60285900"
"Kannapolis Intermediate","Kannapolis City Schools","D - 42","D","42","NotMet","39.9","77","35.49317932","-80.61555481"
"Kannapolis Middle","Kannapolis City Schools","D - 44","D","44","NotMet","37.9","73","35.46719700","-80.63887700"
"Shady Brook Elementary","Kannapolis City Schools","C - 58","C","58","Exceeded","51.4","75","35.47399100","-80.64130400"
"Woodrow Wilson Elementary","Kannapolis City Schools","D - 49","D","49","Met","42.6","85","35.50794220","-80.61851501"
"Carolina International School","Charter Schools","C - 59","C","59","NotMet","56.2","0","35.41218773","-80.73780589"
"Cabarrus Charter Academy","Charter Schools","B - 77","B","77","Exceeded","75.1","8","35.40908432","-80.67467499"
"A.C.E. Academy","Charter Schools","D - 44","D","44","Met","37.3","43","35.30806300","-80.67281300"
"Baton Elementary","Caldwell County Schools","C - 61","C","61","NotMet","59.2","69","35.30806300","-80.67281300"
"Caldwell Career Cen Mid. Coll.","Caldwell County Schools","B - 81","B","81","Met","73.6","39","35.85389055","-81.48199417"
"Gateway School","Caldwell County Schools","NA - NA","N","","NA","21.3","87","35.86413956","-81.36838531"
"Horizons Elementary","Caldwell County Schools","NA - NA","N","","NA","17.9","84","35.84504932","-81.48978598"
"Collettsville School","Caldwell County Schools","B - 70","B","70","Met","69.4","62","35.92872238","-81.67133331"
"Caldwell Early College","Caldwell County Schools","A+ - 90","A","90","Met","86.7","19","35.90436935","-81.52467346"
"Davenport A+ School","Caldwell County Schools","C - 67","C","67","Exceeded","60.7","68","35.91257259","-81.53953962"
"Dudley Shoals Elementary","Caldwell County Schools","B - 70","B","70","Exceeded","64.2","54","35.85591888","-81.39211273"
"Gamewell Elementary","Caldwell County Schools","C - 57","C","57","Met","51.3","71","35.86852603","-81.59669884"
"Gamewell Middle","Caldwell County Schools","D - 51","D","51","Met","45.4","79","35.87173843","-81.60076904"
"Granite Falls Middle","Caldwell County Schools","C - 65","C","65","Met","62.8","48","35.80007935","-81.43775940"
"Granite Falls Elementary","Caldwell County Schools","B - 72","B","72","Met","68.9","50","35.80662155","-81.43317413"
"Happy Valley Elementary","Caldwell County Schools","C - 63","C","63","Met","58.2","62","35.99546051","-81.55995178"
"Hibriten High","Caldwell County Schools","C - 66","C","66","NotMet","48.4","50","35.92528100","-81.49361400"
"Hudson Elementary","Caldwell County Schools","C - 64","C","64","Met","59.1","58","35.84956741","-81.48110199"
"Hudson Middle","Caldwell County Schools","C - 61","C","61","Met","58.0","55","35.84798000","-81.48027800"
"Kings Creek Elementary","Caldwell County Schools","C - 60","C","60","Met","57.7","68","35.99203873","-81.40056610"
"William Lenoir Middle","Caldwell County Schools","C - 67","C","67","Exceeded","59.7","61","36.22525714","-81.53135285"
"Lower Creek Elementary","Caldwell County Schools","B - 70","B","70","Met","66.9","43","35.53934479","-79.18541718"
"Oak Hill Elementary","Burke County Schools","C - 65","C","65","Exceeded","58.2","59","35.90162659","-81.41865540"
"Oak Hill Elementary","Caldwell County Schools","D - 52","D","52","Met","45.7","57","35.90162659","-81.41865540"
"Oak Hill Elementary","Guilford County Schools","C - 57","C","57","Met","49.8","100","35.90162659","-81.41865540"
"Sawmills Elementary","Caldwell County Schools","C - 56","C","56","NotMet","54.1","56","35.81882477","-81.47804260"
"South Caldwell High","Caldwell County Schools","C - 65","C","65","NotMet","54.5","36","35.82043839","-81.45212555"
"Valmead Elementary","Caldwell County Schools","D - 53","D","53","Met","46.1","91","35.93679810","-81.53949738"
"West Caldwell High","Caldwell County Schools","C - 63","C","63","NotMet","46.5","62","35.88702393","-81.59041595"
"West Lenoir Elementary","Caldwell County Schools","D - 44","D","44","Met","34.8","98","35.90870351","-81.55192070"
"Whitnel Elementary","Caldwell County Schools","C - 56","C","56","Met","49.5","80","35.88969067","-81.52307287"
"Camden County High","Camden County Schools","B - 75","B","75","Met","66.0","28","36.32691574","-76.17198181"
"Grandy Primary","Camden County Schools","B - 83","B","83","Exceeded","82.0","40","36.33228302","-76.18204498"
"Camden Intermediate","Camden County Schools","C - 69","C","69","Met","67.5","35","36.33377731","-76.18332110"
"Camden Middle","Camden County Schools","C - 61","C","61","NotMet","59.9","33","36.36220169","-76.17541504"
"CamTech High","Camden County Schools","B - 79","B","79","Met","62.3","31","36.32691574","-76.17198181"
"Atlantic Elementary","Carteret County Public Schools","B - 71","B","71","Met","70.0","57","34.88255471","-76.34138770"
"Bogue Sound Elementary","Carteret County Public Schools","C - 67","C","67","Met","63.0","57","34.72122721","-76.95168748"
"Beaufort Elementary","Carteret County Public Schools","B - 72","B","72","Met","69.2","70","34.73124300","-76.64645300"
"Bridges School","Carteret County Public Schools","NA - NA","N","","NA","11.9","78","34.73878898","-76.78941853"
"Beaufort Middle","Carteret County Public Schools","C - 60","C","60","Met","57.5","56","34.72774565","-76.64804935"
"Broad Creek Middle","Carteret County Public Schools","C - 68","C","68","NotMet","68.6","31","34.72859994","-76.91283502"
"East Carteret High","Carteret County Public Schools","B - 75","B","75","Exceeded","63.5","41","34.78102304","-76.62572734"
"Croatan High","Carteret County Public Schools","A+ - 90","A","90","Exceeded","82.5","26","34.89802933","-76.93058777"
"Harkers Island Elementary","Carteret County Public Schools","B - 73","B","73","Met","70.9","59","34.69336577","-76.55201755"
"Morehead Elem at Camp Glenn","Carteret County Public Schools","C - 58","C","58","NotMet","55.9","53","34.72430706","-76.74860671"
"Morehead City Middle","Carteret County Public Schools","B - 70","B","70","Exceeded","66.2","36","34.73110847","-76.74243025"
"Morehead City Primary","Carteret County Public Schools","C - 69","C","69","Met","65.9","56","34.73552339","-76.77722387"
"Newport Elementary","Carteret County Public Schools","B - 80","B","80","Exceeded","78.5","63","34.79040205","-76.85951069"
"Newport Middle","Carteret County Public Schools","C - 63","C","63","Met","58.7","55","34.77252579","-76.86112976"
"West Carteret High","Carteret County Public Schools","A+ - 85","A","85","Exceeded","75.2","41","34.73841095","-76.78673553"
"White Oak Elementary","Carteret County Public Schools","B - 78","B","78","Exceeded","74.3","31","35.53934479","-79.18541718"
"White Oak Elementary","Edenton-Chowan Schools","I - NA","I","","NA","NA","72","35.53934479","-79.18541718"
"Tiller School","Charter Schools","A - 86","A","86","Met","87.0","25","34.88716888","-76.56658173"
"Bartlett Yancey High","Caswell County Schools","D - 53","D","53","NotMet","35.4","57","36.40451521","-79.32822660"
"North Elementary","Caswell County Schools","C - 64","C","64","Met","59.8","87","36.52925110","-79.39546204"
"North Elementary","Cleveland County Schools","B - 79","B","79","Met","80.3","71","36.52925110","-79.39546204"
"North Elementary","Person County Schools","D - 41","D","41","Met","30.8","100","36.52925110","-79.39546204"
"N L Dillard Middle","Caswell County Schools","D - 45","D","45","NotMet","40.8","65","36.40981257","-79.36525650"
"Oakwood Elementary","Caswell County Schools","D - 42","D","42","NotMet","37.4","100","36.40981257","-79.36525650"
"Oakwood Elementary","Hickory City Schools","B - 77","B","77","Exceeded","73.4","56","36.40981257","-79.36525650"
"South Elementary","Caswell County Schools","C - 59","C","59","Exceeded","51.5","82","36.32820100","-79.24204789"
"South Elementary","Mooresville City Schools","B - 81","B","81","Exceeded","79.3","60","36.32820100","-79.24204789"
"South Elementary","Person County Schools","D - 40","D","40","NotMet","32.9","100","36.32820100","-79.24204789"
"Stoney Creek Elementary","Caswell County Schools","C - 63","C","63","Met","59.0","97","36.34589386","-79.42204285"
"Stoney Creek Elementary","Charlotte-Mecklenburg Schools","D - 54","D","54","Met","50.1","68","36.34589386","-79.42204285"
"Harry M Arndt Middle","Catawba County Schools","C - 68","C","68","Exceeded","59.8","59","35.77561900","-81.26792100"
"Balls Creek Elementary","Catawba County Schools","B - 71","B","71","Exceeded","66.5","53","35.62982941","-81.12723541"
"Bandys High","Catawba County Schools","B - 76","B","76","Met","64.8","32","35.67760468","-81.05386353"
"Banoak Elementary","Catawba County Schools","C - 69","C","69","Exceeded","64.8","62","35.58201218","-81.41674042"
"Blackburn Elementary","Catawba County Schools","C - 66","C","66","Met","63.8","52","35.61495209","-81.33108521"
"Bunker Hill High","Catawba County Schools","C - 64","C","64","Met","47.3","58","35.75373840","-81.12026215"
"Catawba Rosenwald Education Center","Catawba County Schools","NA - NA","N","","NA","6.8","80","35.70259720","-81.07542694"
"Catawba Elementary School","Catawba County Schools","C - 57","C","57","Met","52.2","64","35.69642600","-81.07286000"
"Challenger Early College High","Catawba County Schools","A+ - 97","A","97","Exceeded","94.8","46","35.69876480","-81.28159332"
"Charles H Tuttle Elementary","Catawba County Schools","B - 70","B","70","Met","66.7","44","35.58888245","-81.15776825"
"Claremont Elementary","Catawba County Schools","C - 57","C","57","Exceeded","50.3","58","35.71720886","-81.14328766"
"Clyde Campbell Elementary","Catawba County Schools","C - 66","C","66","Met","62.0","40","35.77744600","-81.28566700"
"Fred T Foard High","Catawba County Schools","B - 74","B","74","Met","60.8","36","35.61626816","-81.37217712"
"Jacobs Fork Middle","Catawba County Schools","C - 63","C","63","NotMet","62.3","42","35.61346054","-81.37097931"
"Lyle Creek Elementary","Catawba County Schools","C - 56","C","56","Exceeded","48.7","69","35.74805069","-81.20010376"
"Maiden Elementary","Catawba County Schools","C - 55","C","55","Met","50.2","59","35.57830048","-81.21092987"
"Maiden Middle School","Catawba County Schools","C - 63","C","63","Met","59.5","46","35.58124161","-81.21823883"
"Maiden High","Catawba County Schools","B - 73","B","73","Exceeded","60.0","48","35.58072281","-81.22653961"
