school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Kenansville Elementary","Duplin County Schools","C - 63","Exceeded","55.1","80"
"North Duplin Elementary","Duplin County Schools","C - 63","Exceeded","56.0","77"
"North Duplin Jr Sr High","Duplin County Schools","D - 54","NotMet","47.5","60"
"Rose Hill-Magnolia Elementary","Duplin County Schools","D - 46","Exceeded","35.1","95"
"Wallace Elementary","Duplin County Schools","D - 49","NotMet","44.1","78"
"Wallace-Rose Hill High","Duplin County Schools","C - 55","NotMet","37.3","64"
"Warsaw Middle","Duplin County Schools","D - 42","Exceeded","31.7","90"
"Bethesda Elementary","Durham Public Schools","D - 45","Met","38.7","81"
"Brogden Middle","Durham Public Schools","D - 44","Exceeded","33.2","73"
"Burton Elementary","Durham Public Schools","D - 52","Exceeded","41.6","87"
"J D Clement Early College HS","Durham Public Schools","A+ - 92","Exceeded","87.5","58"
"Eastway Elementary","Durham Public Schools","F - 33","Met","21.6","100"
"C E Jordan High","Durham Public Schools","C - 68","Exceeded","51.0","40"
"Easley Elementary","Durham Public Schools","C - 64","NotMet","63.0","27"
"The School for Creative Studies","Durham Public Schools","C - 55","Met","48.3","53"
"Eno Valley Elementary","Durham Public Schools","F - 37","Met","27.9","83"
"George L Carrington Middle","Durham Public Schools","D - 52","Exceeded","42.4","62"
"City of Medicine Academy","Durham Public Schools","A+ - 85","Exceeded","72.9","56"
"Club Boulevard Elementary","Durham Public Schools","D - 53","Met","45.8","60"
"Creekside Elementary","Durham Public Schools","C - 66","Met","62.6","44"
"Glenn Elementary","Durham Public Schools","F - 39","Met","29.4","93"
"Durham's Performance Learning Center","Durham Public Schools","NA - NA","NA","13.0","67"
"Durham School of the Arts","Durham Public Schools","B - 81","Exceeded","72.3","39"
"Hillandale Elementary","Durham Public Schools","C - 58","Met","53.8","57"
"Hillside High","Durham Public Schools","C - 65","Exceeded","39.5","65"
"Hope Valley Elementary","Durham Public Schools","C - 59","Exceeded","50.5","63"
"Holt Elementary","Durham Public Schools","D - 53","Exceeded","43.9","88"
"Holton Career and Resource Center","Durham Public Schools","I - NA","NA","NA","NA"
"Forest View Elementary","Durham Public Schools","C - 69","Exceeded","63.3","61"
"DPS Hospital School","Durham Public Schools","F - 0","NA","<5","33"
"James E Shepard Middle","Durham Public Schools","D - 43","Met","35.9","73"
"Lakewood Elementary","Durham Public Schools","F - 38","Met","29.5","100"
"Little River Elementary","Durham Public Schools","C - 65","NotMet","66.1","39"
"Lakeview School","Durham Public Schools","NA - NA","NA","<5","100"
"Lakewood Montessori Middle","Durham Public Schools","C - 68","Exceeded","62.4","48"
"Lucas Middle","Durham Public Schools","D - 47","NotMet","43.4","64"
"Fayetteville Street Elementary","Durham Public Schools","D - 43","Met","33.1","100"
"Lowe's Grove Middle","Durham Public Schools","F - 34","NotMet","27.9","78"
"George Watts Elementary","Durham Public Schools","C - 60","Met","56.5","48"
"Mangum Elementary","Durham Public Schools","B - 73","NotMet","74.4","26"
"Merrick-Moore Elementary","Durham Public Schools","F - 30","NotMet","20.5","90"
"Middle College HS @ DTCC","Durham Public Schools","A - 86","Exceeded","53.8","52"
"Morehead Montessori","Durham Public Schools","C - 69","Met","65.3","40"
"Neal Middle","Durham Public Schools","F - 34","NotMet","26.8","84"
"Northern High","Durham Public Schools","C - 57","Met","36.6","59"
"Oak Grove Elementary","Durham Public Schools","D - 51","Met","44.5","76"
"Parkwood Elementary","Durham Public Schools","D - 54","Exceeded","45.0","71"
"E K Powe Elementary","Durham Public Schools","D - 49","Met","41.9","64"
"Pearsontown Elementary","Durham Public Schools","B - 75","Met","75.0","31"
"Riverside High","Durham Public Schools","C - 58","NotMet","40.8","52"
"Sherwood Githens Middle","Durham Public Schools","D - 42","NotMet","35.8","69"
"R N Harris Elementary","Durham Public Schools","C - 56","Met","49.4","89"
"Southern School of Energy and Sustainabi","Durham Public Schools","D - 44","NotMet","23.9","73"
"Sandy Ridge Elementary","Durham Public Schools","D - 43","NotMet","38.3","58"
"Rogers-Herr Middle","Durham Public Schools","C - 67","Exceeded","62.3","45"
"Southwest Elementary","Durham Public Schools","D - 51","Met","43.7","63"
"C C Spaulding Elementary","Durham Public Schools","F - 38","Met","27.7","100"
"Spring Valley Elementary","Durham Public Schools","C - 56","Met","50.2","65"
"W G Pearson Elementary","Durham Public Schools","F - 33","Met","23.2","88"
"Y E Smith Elementary","Durham Public Schools","F - 35","Met","23.1","100"
"Hillside New Tech High","Durham Public Schools","C - 68","Exceeded","45.9","55"
"Chowan Middle","Edenton-Chowan Schools","C - 61","Exceeded","52.3","63"
"D F Walker Elementary","Edenton-Chowan Schools","D - 54","NotMet","52.5","65"
"John A Holmes High","Edenton-Chowan Schools","C - 58","NotMet","39.9","58"
"White Oak Elementary","Edenton-Chowan Schools","I - NA","NA","NA","72"
"G W Bulluck Elementary","Edgecombe County Public School","C - 57","Exceeded","49.3","58"
"G W Carver Elementary","Edgecombe County Public School","D - 54","Exceeded","44.4","52"
"Coker-Wimberly Elementary","Edgecombe County Public School","F - 39","Met","27.4","64"
"Edgecombe Early College High","Edgecombe County Public School","A - 92","Exceeded","90.7","19"
"North Edgecombe High","Edgecombe County Public School","D - 51","Met","21.6","61"
"Phillips Middle","Edgecombe County Public School","F - 26","NotMet","16.0","57"
"Princeville Elementary","Edgecombe County Public School","F - 33","Met","23.2","75"
"South Edgecombe Middle","Edgecombe County Public School","D - 51","Exceeded","41.5","50"
"W A Pattillo Middle","Edgecombe County Public School","F - 36","Exceeded","22.5","67"
"West Edgecombe Middle","Edgecombe County Public School","D - 40","NotMet","33.6","58"
"SouthWest Edgecombe High","Edgecombe County Public School","C - 56","Met","33.5","48"
"Stocks Elementary","Edgecombe County Public School","F - 30","NotMet","21.8","81"
"Tarboro High","Edgecombe County Public School","C - 55","Met","22.1","50"
"Martin Millennium Academy","Edgecombe County Public School","F - 38","Met","28.8","58"
"Elkin Elementary","Elkin City Schools","B - 73","Met","70.8","46"
"Elkin High","Elkin City Schools","B - 79","Met","71.1","37"
"Elkin Middle","Elkin City Schools","B - 70","Met","66.2","48"
"Ashley Academy","Forsyth County Schools","F - 29","NotMet","20.5","91"
"Atkins Academic & Tech High","Forsyth County Schools","A+ - 86","Exceeded","80.8","40"
"Bolton Elementary","Forsyth County Schools","D - 52","Met","43.9","88"
"Brunson Elementary","Forsyth County Schools","B - 70","Met","70.0","54"
"Caleb's Creek Elementary","Forsyth County Schools","C - 68","Met","67.1","34"
"Carver High","Forsyth County Schools","D - 44","NotMet","19.8","87"
"Career Center","Forsyth County Schools","I - NA","NA","NA","NA"
"Cash Elementary","Forsyth County Schools","C - 69","Exceeded","64.3","41"
"Carter High School","Forsyth County Schools","NA - NA","NA","45.8","57"
"Childrens Center","Forsyth County Schools","NA - NA","NA","7.7","47"
"Clemmons Elementary","Forsyth County Schools","B - 81","Met","80.9","19"
"Clemmons Middle School","Forsyth County Schools","C - 63","Exceeded","56.1","49"
"Cook Elementary","Forsyth County Schools","F - 23","Met","11.1","97"
"The Downtown School","Forsyth County Schools","B - 83","Met","84.2","13"
"Early College of Forsyth Co","Forsyth County Schools","A - 95","Exceeded",">95","NA"
"East Forsyth High","Forsyth County Schools","C - 69","NotMet","50.9","36"
"East Forsyth Middle School","Forsyth County Schools","D - 45","Met","37.3","73"
"Easton Elementary School","Forsyth County Schools","F - 29","Met","17.5","98"
"Flat Rock Middle","Forsyth County Schools","D - 43","Met","32.3","81"
"Forest Park Elementary","Forsyth County Schools","D - 40","NotMet","34.0","98"
"Gibson Elementary","Forsyth County Schools","F - 37","Met","28.4","92"
"Robert B Glenn High School","Forsyth County Schools","D - 54","NotMet","35.3","52"
"Griffith Elementary","Forsyth County Schools","D - 44","NotMet","40.5","92"
"Main Street Academy","Forsyth County Schools","NA - NA","NA","5.5","92"
"Hall-Woodward Elementary","Forsyth County Schools","F - 37","NotMet","31.9","98"
"Hanes Middle School","Forsyth County Schools","C - 69","Met","68.1","39"
"Homebound/ Hospital Education","Forsyth County Schools","F - 14","NA","11.8","NA"
"Ibraham Elementary","Forsyth County Schools","D - 51","Met","43.1","94"
"Jefferson Elementary","Forsyth County Schools","A+ - 85","Met","85.4","30"
"Thomas Jefferson Middle","Forsyth County Schools","B - 76","Met","74.0","32"
"Kernersville Elementary","Forsyth County Schools","C - 60","Exceeded","53.8","77"
"Kernersville Middle","Forsyth County Schools","C - 59","NotMet","58.2","39"
"Kimberley Park Elementary","Forsyth County Schools","F - 31","Met","18.4","98"
"Kimmel Farm Elementary","Forsyth County Schools","C - 56","Met","50.8","59"
"Kingswood School","Forsyth County Schools","NA - NA","NA","<5","89"
"Konnoak Elementary","Forsyth County Schools","F - 39","NotMet","32.7","95"
"Diggs-Latham Elementary","Forsyth County Schools","F - 36","NotMet","29.9","96"
"Lewisville Elementary","Forsyth County Schools","A+ - 85","Met","87.2","24"
"Lowrance Middle","Forsyth County Schools","NA - NA","NA","37.3","65"
"Meadowlark Elementary","Forsyth County Schools","A+ - 86","Exceeded","84.5","23"
"Meadowlark Middle","Forsyth County Schools","B - 74","Met","72.9","23"
"Middle College of Forsyth Cnty","Forsyth County Schools","A - 96","NA","NA","NA"
"Middle Fork Elementary","Forsyth County Schools","F - 33","NotMet","27.1","88"
"Mineral Springs Elementary","Forsyth County Schools","C - 60","Exceeded","52.5","98"
"Mineral Springs Middle","Forsyth County Schools","F - 34","NotMet","28.7","94"
"Moore Magnet Elementary","Forsyth County Schools","C - 55","NotMet","53.3","59"
"Mount Tabor High School","Forsyth County Schools","B - 72","Met","54.3","39"
"Frank Morgan Elementary","Forsyth County Schools","B - 71","Met","70.3","35"
"North Forsyth High","Forsyth County Schools","D - 52","NotMet","32.3","71"
"North Hills Elementary","Forsyth County Schools","D - 42","Met","33.2","99"
"Northwest Middle","Forsyth County Schools","C - 55","Exceeded","44.8","71"
"Old Richmond Elementary","Forsyth County Schools","B - 72","Exceeded","68.8","49"
"Old Town Elementary","Forsyth County Schools","D - 43","NotMet","39.0","98"
"Paisley IB Magnet School","Forsyth County Schools","C - 62","Met","57.5","57"
"Parkland High","Forsyth County Schools","D - 51","NotMet","26.1","77"
"J F Kennedy High","Forsyth County Schools","D - 49","Exceeded","30.4","89"
"Petree Elementary","Forsyth County Schools","D - 41","Exceeded","30.0","99"
"Philo-Hill Magnet Academy","Forsyth County Schools","F - 26","NotMet","17.6","98"
"Piney Grove Elementary","Forsyth County Schools","B - 70","Met","68.6","31"
"Ronald W Reagan High School","Forsyth County Schools","B - 82","Met","72.7","17"
"R J Reynolds High","Forsyth County Schools","C - 68","NotMet","55.7","47"
"Rural Hall Elementary","Forsyth County Schools","C - 60","Met","54.4","51"
"Sedge Garden Elementary","Forsyth County Schools","C - 61","Met","56.9","48"
"Sherwood Forest Elementary","Forsyth County Schools","B - 83","Met","84.3","17"
"Smith Farm Elementary","Forsyth County Schools","C - 55","NotMet","52.1","66"
"Southeast Middle","Forsyth County Schools","C - 58","Met","52.4","45"
"South Fork Elementary","Forsyth County Schools","D - 44","Met","36.3","88"
"Southwest Elementary","Forsyth County Schools","C - 69","NotMet","71.6","46"
"Speas Elementary","Forsyth County Schools","D - 46","Met","39.1","89"
"The Special Children's School","Forsyth County Schools","NA - NA","NA","11.1","65"
"Union Cross Traditional Acad","Forsyth County Schools","C - 55","Met","49.2","51"
"Vienna Elementary","Forsyth County Schools","A+ - 85","Met","84.5","21"
"Walkertown Elementary","Forsyth County Schools","C - 56","NotMet","54.6","77"
"Walkertown High","Forsyth County Schools","C - 61","NotMet","46.4","52"
"Walkertown Middle","Forsyth County Schools","D - 50","Met","42.5","64"
"Ward Elementary","Forsyth County Schools","D - 54","NotMet","49.8","66"
"West Forsyth High","Forsyth County Schools","A+ - 85","Exceeded","73.9","26"
"Whitaker Elementary","Forsyth County Schools","A+ - 89","Met","89.9","15"
"Wiley Middle","Forsyth County Schools","D - 49","NotMet","44.3","75"
"Winston-Salem Preparatory Acad","Forsyth County Schools","F - 36","NotMet","23.4","89"
"Bunn Elementary","Franklin County Schools","C - 59","Exceeded","52.6","51"
"Bunn High","Franklin County Schools","C - 66","Met","47.6","39"
"Bunn Middle","Franklin County Schools","D - 51","Met","45.9","42"
"Cedar Creek Middle","Franklin County Schools","C - 55","NotMet","54.3","30"
"Edward Best Elementary","Franklin County Schools","C - 66","Met","62.8","56"
"Franklin County Early College","Franklin County Schools","B - 73","Met","59.8","28"
"Franklinton Elementary","Franklin County Schools","D - 51","Met","44.7","70"
"Franklinton High","Franklin County Schools","C - 63","Met","47.9","30"
"Franklinton Middle","Franklin County Schools","F - 39","NotMet","35.2","55"
"Laurel Mill Elementary","Franklin County Schools","D - 54","Met","48.1","71"
"Long Mill Elementary","Franklin County Schools","D - 50","NotMet","48.7","41"
"Louisburg Elementary","Franklin County Schools","D - 52","Met","44.4","70"
"Louisburg High","Franklin County Schools","C - 59","NotMet","39.3","46"
"Terrell Lane Middle","Franklin County Schools","D - 53","Exceeded","44.7","54"
"Royal Elementary","Franklin County Schools","D - 48","NotMet","45.6","53"
"Youngsville Elementary","Franklin County Schools","B - 75","Exceeded","72.4","32"
"Ashbrook High","Gaston County Schools","B - 73","Exceeded","59.2","53"
"Belmont Central Elementary","Gaston County Schools","B - 75","Met","72.9","29"
"Belmont Middle","Gaston County Schools","C - 63","NotMet","63.9","39"
"Bessemer City Central Elem","Gaston County Schools","D - 43","NotMet","36.6","75"
"Bessemer City High","Gaston County Schools","C - 59","Met","39.6","63"
"Gaston Early College High School","Gaston County Schools","A - 89","Exceeded","88.7","45"
"Bessemer City Primary","Gaston County Schools","I - NA","NA","NA","75"
"W B Beam Intermediate School","Gaston County Schools","C - 60","Met","54.5","54"
"Brookside Elementary","Gaston County Schools","C - 64","Met","60.5","72"
"Carr Elementary","Gaston County Schools","D - 54","Exceeded","45.7","78"
"Catawba Heights Elementary","Gaston County Schools","C - 57","Met","51.3","61"
